No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
2,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.000.000.000,Pengembangan
3,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
4,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan
5,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
6,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
7,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
8,ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama
9,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
10,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
11,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan
12,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus
13,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.217.135.360,Pengembangan
14,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan
15,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama
16,BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama
17,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama
18,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,185.819.884.852,Pengembangan
19,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan
20,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Pengembangan
21,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama
22,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama
23,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama
24,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama
25,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama
26,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,17.926.071.041,Pemantauan Khusus
27,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.675.817.341,Utama
28,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,51.351.733.883,Pemantauan Khusus
29,BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.039.383.620,Utama
30,BGTG,Bank Ganesha Tbk.,12 Mei 2016,23.731.287.132,Pengembangan
31,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,6.073.369.498,Utama
32,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,10.416.229.249,Utama
33,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.865.343.101,Utama
34,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,34.806.467.881,Pengembangan
35,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,17.921.635.680,Pengembangan
36,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,92.399.999.996,Utama
37,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,3.354.120.000,Pengembangan
38,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.890.783.784,Utama
39,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,Utama
40,BNLI,Bank Permata Tbk.,15 Jan 1990,35.819.545.925,Utama
41,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,2.673.995.362,Pengembangan
42,BPII,Batavia Prosperindo Internasio,08 Jul 2014,10.309.973.240,Pengembangan
43,BSIM,Bank Sinarmas Tbk.,13 Des 2010,19.517.921.842,Utama
44,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,3.651.978.177,Pemantauan Khusus
45,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,10.536.203.690,Utama
46,BVIC,Bank Victoria International Tb,30 Jun 1999,18.231.060.514,Utama
47,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,3.984.520.457,Utama
48,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,687.266.666,Pemantauan Khusus
49,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,16.867.292.274,Pengembangan
50,DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,Pengembangan
51,GSMF,Equity Development Investment ,23 Okt 1989,14.230.399.705,Pengembangan
52,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6.542.445.783,Pengembangan
53,INPC,Bank Artha Graha Internasional,23 Agt 1990,20.021.178.779,Utama
54,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,3.000.000.000,Pengembangan
55,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan
56,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,25.906.179.152,Utama
57,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama
58,MEGA,Bank Mega Tbk.,17 Apr 2000,11.623.514.905,Utama
59,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,5.000.000.000,Pengembangan
60,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Utama
61,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama
62,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Pengembangan
63,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus
64,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Pemantauan Khusus
65,PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Pengembangan
66,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama
67,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan
68,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus
69,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama
70,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan
71,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama
72,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama
73,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus
74,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan
75,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan
76,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Utama
77,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama
78,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,4.800.000.602,Pemantauan Khusus
79,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan
80,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
81,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
82,VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama
83,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.460.573.616,Pengembangan
84,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
85,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Pengembangan
86,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan
87,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.476.269.803,Pengembangan
88,BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,45.667.877.639,Utama
89,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,2.924.486.639,Pengembangan
90,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
91,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan
92,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7.626.663.000,Utama
93,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,3.555.575.600,Utama
94,POLA,Pool Advista Finance Tbk.,16 Nov 2018,3.351.075.600,Pemantauan Khusus
95,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan
96,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan
97,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan
98,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Pengembangan
99,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
100,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan
101,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama
102,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.621.943.706,Pengembangan
103,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Pengembangan
104,VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan
105,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.424.687.500,Pengembangan
106,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan
